Ri,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34,Years Since,Fires
R1,41A_n,43,45,21,31,13,17,29,30,15,19,6,19,14,18,17,17,7,3
R2,41A_n,37,38,26,26,15,25,47,48,14,21,4,14,14,28,13,14,7,3
R3,41A_n,38,39,16,25,15,17,43,44,15,25,13,16,10,15,20,24,7,3
R4,41A_n,34,41,25,27,17,17,44,47,15,23,12,15,7,14,20,34,7,3
R5,41A_n,37,40,17,25,15,25,29,51,14,25,6,15,7,13,50,51,7,3
R6,41A_n,37,46,23,27,13,25,29,38,19,26,4,9,14,24,33,45,7,3
R7,41A_n,36,40,25,26,15,15,47,47,15,19,13,13,12,23,15,15,7,3
R8,41A_n,38,40,21,26,17,19,49,49,19,21,6,12,16,18,18,18,7,3
R9,41A_n,29,30,6,15,13,15,33,34,25,25,13,16,15,23,20,20,7,3
R10,41A_n,26,35,16,25,22,27,5,7,16,28,12,13,11,13,14,18,7,3
R11,41A_w,39,40,8,14,25,27,48,49,19,19,13,13,10,15,42,43,7,3
R12,41A_w,28,36,18,25,21,29,38,49,23,36,5,13,13,23,42,47,7,3
R13,41A_w,36,40,26,27,21,22,41,44,14,26,6,13,16,17,14,14,7,3
R14,41A_w,40,46,22,27,25,29,38,45,17,19,9,12,13,13,25,46,7,3
R15,41A_w,22,44,13,20,13,15,38,47,19,19,4,10,8,10,13,19,7,3
R16,41A_w,36,46,16,22,17,17,38,43,17,26,9,18,7,22,14,14,7,3
R17,41A_w,31,35,25,30,15,19,43,43,29,36,16,16,13,13,18,30,7,3
R18,41A_w,35,35,25,27,11,17,42,44,19,26,8,8,13,17,20,20,7,3
R19,41A_w,34,40,23,24,15,19,44,63,16,26,14,17,13,27,17,17,7,3
R20,41A_w,36,39,18,27,21,25,45,49,14,16,12,13,16,18,14,14,7,3
R21,41A_w,22,33,15,21,17,21,37,39,17,25,7,16,13,19,10,18,7,3
R22,41A_w,39,44,19,20,13,17,39,39,14,14,5,13,15,20,25,26,7,3
