Ri,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.2 AVG,Nr 52.4 Locus,Nr 52.4,Nr 52.4 AVG,Nr 52.7 Locus,Nr 52.7,Nr 52.7 AVG,Nr 52.11 Locus,Nr 52.11,Nr 52.11 AVG,Nr 60.2 Locus,Nr 60.2,Nr 60.2 AVG,Nr 60.5 Locus,Nr 60.5,Nr 60.5 AVG,Nr 60.11 Locus,Nr 60.11,Nr 60.11 AVG,Nr 60.34 Locus,Nr 60.34,Nr 60.34 AVG,Years Since,Fires
R1,41A_n,43,45,44,21,31,26,13,17,15,29,30,29.5,15,19,17,6,19,12.5,14,18,16,17,17,17,7,3
R2,41A_n,37,38,37.5,26,26,26,15,25,20,47,48,47.5,14,21,17.5,4,14,9,14,28,21,13,14,13.5,7,3
R3,41A_n,38,39,38.5,16,25,20.5,15,17,16,43,44,43.5,15,25,20,13,16,14.5,10,15,12.5,20,24,22,7,3
R4,41A_n,34,41,37.5,25,27,26,17,17,17,44,47,45.5,15,23,19,12,15,13.5,7,14,10.5,20,34,27,7,3
R5,41A_n,37,40,38.5,17,25,21,15,25,20,29,51,40,14,25,19.5,6,15,10.5,7,13,10,50,51,50.5,7,3
R6,41A_n,37,46,41.5,23,27,25,13,25,19,29,38,33.5,19,26,22.5,4,9,6.5,14,24,19,33,45,39,7,3
R7,41A_n,36,40,38,25,26,25.5,15,15,15,47,47,47,15,19,17,13,13,13,12,23,17.5,15,15,15,7,3
R8,41A_n,38,40,39,21,26,23.5,17,19,18,49,49,49,19,21,20,6,12,9,16,18,17,18,18,18,7,3
R9,41A_n,29,30,29.5,6,15,10.5,13,15,14,33,34,33.5,25,25,25,13,16,14.5,15,23,19,20,20,20,7,3
R10,41A_n,26,35,30.5,16,25,20.5,22,27,24.5,5,7,6,16,28,22,12,13,12.5,11,13,12,14,18,16,7,3
R11,41A_w,39,40,39.5,8,14,11,25,27,26,48,49,48.5,19,19,19,13,13,13,10,15,12.5,42,43,42.5,7,3
R12,41A_w,28,36,32,18,25,21.5,21,29,25,38,49,43.5,23,36,29.5,5,13,9,13,23,18,42,47,44.5,7,3
R13,41A_w,36,40,38,26,27,26.5,21,22,21.5,41,44,42.5,14,26,20,6,13,9.5,16,17,16.5,14,14,14,7,3
R14,41A_w,40,46,43,22,27,24.5,25,29,27,38,45,41.5,17,19,18,9,12,10.5,13,13,13,25,46,35.5,7,3
R15,41A_w,22,44,33,13,20,16.5,13,15,14,38,47,42.5,19,19,19,4,10,7,8,10,9,13,19,16,7,3
R16,41A_w,36,46,41,16,22,19,17,17,17,38,43,40.5,17,26,21.5,9,18,13.5,7,22,14.5,14,14,14,7,3
R17,41A_w,31,35,33,25,30,27.5,15,19,17,43,43,43,29,36,32.5,16,16,16,13,13,13,18,30,24,7,3
R18,41A_w,35,35,35,25,27,26,11,17,14,42,44,43,19,26,22.5,8,8,8,13,17,15,20,20,20,7,3
R19,41A_w,34,40,37,23,24,23.5,15,19,17,44,63,53.5,16,26,21,14,17,15.5,13,27,20,17,17,17,7,3
R20,41A_w,36,39,37.5,18,27,22.5,21,25,23,45,49,47,14,16,15,12,13,12.5,16,18,17,14,14,14,7,3
R21,41A_w,22,33,27.5,15,21,18,17,21,19,37,39,38,17,25,21,7,16,11.5,13,19,16,10,18,14,7,3
R22,41A_w,39,44,41.5,19,20,19.5,13,17,15,39,39,39,14,14,14,5,13,9,15,20,17.5,25,26,25.5,7,3
R23,43A_e,30,32,31,20,22,21,11,17,14,32,47,39.5,21,21,21,11,15,13,11,26,18.5,16,16,16,10,3
R24,43A_e,32,39,35.5,18,21,19.5,13,19,16,41,45,43,13,19,16,4,7,5.5,10,13,11.5,15,15,15,10,3
R25,43A_e,38,42,40,22,22,22,19,19,19,41,45,43,14,26,20,4,21,12.5,16,17,16.5,15,17,16,10,3
R26,43A_e,27,34,30.5,18,26,22,13,23,18,42,45,43.5,17,21,19,4,4,4,10,15,12.5,20,20,20,10,3
R27,43A_e,36,40,38,23,27,25,19,23,21,44,44,44,20,21,20.5,14,14,14,8,17,12.5,16,20,18,10,3
R28,43A_e,32,32,32,15,23,19,13,23,18,42,44,43,27,29,28,14,14,14,10,10,10,15,20,17.5,10,3
R29,43A_e,28,38,33,18,28,23,18,23,20.5,42,42,42,19,21,20,5,10,7.5,7,9,8,41,42,41.5,10,3
R30,43A_e,28,38,33,17,19,18,13,21,17,43,44,43.5,14,19,16.5,19,27,23,13,26,19.5,24,24,24,10,3
R31,43A_e,27,27,27,20,22,21,7,15,11,45,48,46.5,15,15,15,4,5,4.5,12,14,13,20,21,20.5,10,3
R32,43A_e,24,41,32.5,14,19,16.5,13,19,16,43,44,43.5,19,25,22,7,10,8.5,7,13,10,20,40,30,10,3
R33,43A_e,32,40,36,18,23,20.5,8,13,10.5,41,50,45.5,19,22,20.5,4,14,9,8,10,9,15,16,15.5,10,3
R34,43A_e,38,40,39,26,27,26.5,16,23,19.5,42,43,42.5,17,21,19,13,18,15.5,8,15,11.5,20,20,20,10,3
R35,43A_e,32,36,34,18,23,20.5,8,13,10.5,44,44,44,17,17,17,14,18,16,10,18,14,20,20,20,10,3
R36,43A_e,36,39,37.5,18,27,22.5,13,19,16,41,44,42.5,17,19,18,7,13,10,13,18,15.5,16,16,16,10,3
R37,43A_e,32,40,36,21,23,22,19,23,21,41,44,42.5,17,19,18,4,14,9,8,13,10.5,20,20,20,10,3
R38,43A_n,37,38,37.5,14,27,20.5,13,15,14,40,44,42,19,19,19,11,16,13.5,16,25,20.5,14,17,15.5,10,3
R39,43A_n,38,38,38,13,14,13.5,13,15,14,41,47,44,15,16,15.5,7,10,8.5,4,22,13,14,14,14,10,3
R40,43A_n,28,38,33,19,27,23,15,27,21,38,38,38,19,24,21.5,9,19,14,4,5,4.5,17,17,17,10,3
R41,43A_n,36,38,37,27,30,28.5,13,17,15,42,43,42.5,14,21,17.5,2,14,8,8,17,12.5,7,20,13.5,10,3
R42,43A_n,38,40,39,14,27,20.5,15,15,15,38,44,41,14,19,16.5,9,16,12.5,9,14,11.5,14,17,15.5,10,3
R43,43A_n,25,40,32.5,14,27,20.5,16,24,20,38,45,41.5,14,16,15,16,18,17,13,15,14,17,23,20,10,3
R44,44_e,39,40,39.5,20,22,21,17,19,18,29,42,35.5,28,33,30.5,17,19,18,14,14,14,11,14,12.5,20,1
R45,44_e,20,27,23.5,18,27,22.5,17,17,17,38,44,41,15,15,15,12,14,13,11,13,12,10,10,10,20,1
R46,44_e,20,27,23.5,18,18,18,17,17,17,38,43,40.5,15,23,19,6,18,12,10,10,10,18,23,20.5,20,1
R47,44_e,40,43,41.5,26,27,26.5,17,29,23,38,41,39.5,16,19,17.5,12,12,12,15,24,19.5,31,32,31.5,20,1
R48,44_e,38,39,38.5,21,27,24,17,19,18,30,50,40,16,25,20.5,5,10,7.5,12,14,13,10,14,12,20,1
R49,44_e,38,39,38.5,16,25,20.5,21,23,22,42,42,42,25,30,27.5,12,19,15.5,11,18,14.5,11,23,17,20,1
R50,44_e,34,36,35,23,26,24.5,19,21,20,29,49,39,18,28,23,17,31,24,14,24,19,8,10,9,20,1
R51,44_e,36,40,38,20,27,23.5,19,25,22,29,38,33.5,16,28,22,6,13,9.5,15,24,19.5,11,11,11,20,1
R52,44_e,38,38,38,20,24,22,19,21,20,29,37,33,24,28,26,13,13,13,12,14,13,14,18,16,20,1
R53,44_e,44,45,44.5,25,25,25,7,29,18,42,49,45.5,16,16,16,10,15,12.5,12,22,17,10,10,10,20,1
R54,44_e,36,43,39.5,10,21,15.5,15,17,16,29,34,31.5,16,18,17,10,12,11,14,14,14,15,23,19,20,1
R55,44_e,40,43,41.5,19,21,20,17,19,18,29,29,29,16,22,19,6,12,9,12,14,13,6,12,9,20,1
R56,44_e,41,44,42.5,27,27,27,13,21,17,29,38,33.5,14,16,15,4,13,8.5,11,15,13,11,23,17,20,1
R57,44_e,31,33,32,25,26,25.5,13,15,14,28,43,35.5,18,20,19,17,17,17,9,11,10,27,34,30.5,20,1
