Ri,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.2 AVG,Nr 52.4 Locus,Nr 52.4,Nr 52.4 AVG,Nr 52.7 Locus,Nr 52.7,Nr 52.7 AVG,Nr 52.11 Locus,Nr 52.11,Nr 52.11 AVG,Nr 60.2 Locus,Nr 60.2,Nr 60.2 AVG,Nr 60.5 Locus,Nr 60.5,Nr 60.5 AVG,Nr 60.11 Locus,Nr 60.11,Nr 60.11 AVG,Nr 60.34 Locus,Nr 60.34,Nr 60.34 AVG,Years Since,Fires
R1,41A_n,43,45,44.0,21,31,26.0,13,17,15.0,29,30,29.5,15,19,17.0,6,19,12.5,14,18,16.0,17,17,17.0,7,3
R3,41A_n,38,39,38.5,16,25,20.5,15,17,16.0,43,44,43.5,15,25,20.0,13,16,14.5,10,15,12.5,20,24,22.0,7,3
R4,41A_n,34,41,37.5,25,27,26.0,17,17,17.0,44,47,45.5,15,23,19.0,12,15,13.5,7,14,10.5,20,34,27.0,7,3
R6,41A_n,37,46,41.5,23,27,25.0,13,25,19.0,29,38,33.5,19,26,22.5,4,9,6.5,14,24,19.0,33,45,39.0,7,3
R7,41A_n,36,40,38.0,25,26,25.5,15,15,15.0,47,47,47.0,15,19,17.0,13,13,13.0,12,23,17.5,15,15,15.0,7,3
R8,41A_n,38,40,39.0,21,26,23.5,17,19,18.0,49,49,49.0,19,21,20.0,6,12,9.0,16,18,17.0,18,18,18.0,7,3
R9,41A_n,29,30,29.5,6,15,10.5,13,15,14.0,33,34,33.5,25,25,25.0,13,16,14.5,15,23,19.0,20,20,20.0,7,3
R10,41A_n,26,35,30.5,16,25,20.5,22,27,24.5,5,7,6.0,16,28,22.0,12,13,12.5,11,13,12.0,14,18,16.0,7,3
R11,41A_w,39,40,39.5,8,14,11.0,25,27,26.0,48,49,48.5,19,19,19.0,13,13,13.0,10,15,12.5,42,43,42.5,7,3
R13,41A_w,36,40,38.0,26,27,26.5,21,22,21.5,41,44,42.5,14,26,20.0,6,13,9.5,16,17,16.5,14,14,14.0,7,3
R15,41A_w,22,44,33.0,13,20,16.5,13,15,14.0,38,47,42.5,19,19,19.0,4,10,7.0,8,10,9.0,13,19,16.0,7,3
R16,41A_w,36,46,41.0,16,22,19.0,17,17,17.0,38,43,40.5,17,26,21.5,9,18,13.5,7,22,14.5,14,14,14.0,7,3
