Ri,HL,IR,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34,Years Since,Fires
R1,0.1276459637,0.0670583743,41A_n,43,45,21,31,13,17,29,30,15,19,6,19,14,18,17,17,7,3
R3,0.0,-0.0709967108,41A_n,38,39,16,25,15,17,43,44,15,25,13,16,10,15,20,24,7,3
R4,0.1224789711,0.0551796617,41A_n,34,41,25,27,17,17,44,47,15,23,12,15,7,14,20,34,7,3
R6,0.0,-0.0533681584,41A_n,37,46,23,27,13,25,29,38,19,26,4,9,14,24,33,45,7,3
R7,0.5020678273,0.4608901672,41A_n,36,40,25,26,15,15,47,47,15,19,13,13,12,23,15,15,7,3
R8,0.254391545,0.192625095,41A_n,38,40,21,26,17,19,49,49,19,21,6,12,16,18,18,18,7,3
R9,0.2500505918,0.216268399,41A_n,29,30,6,15,13,15,33,34,25,25,13,16,15,23,20,20,7,3
R10,0.0,-0.0589834435,41A_n,26,35,16,25,22,27,5,7,16,28,12,13,11,13,14,18,7,3
R11,0.2476019393,0.2112123585,41A_w,39,40,8,14,25,27,48,49,19,19,13,13,10,15,42,43,7,3
R13,0.1276459637,0.0683831939,41A_w,36,40,26,27,21,22,41,44,14,26,6,13,16,17,14,14,7,3
R14,0.1236211779,0.0626785537,41A_w,40,46,22,27,25,29,38,45,17,19,9,12,13,13,25,46,7,3
R15,0.1224046281,0.071057156,41A_w,22,44,13,20,13,15,38,47,19,19,4,10,8,10,13,19,7,3
R16,0.2501249348,0.2040454994,41A_w,36,46,16,22,17,17,38,43,17,26,9,18,7,22,14,14,7,3
R18,0.3800854848,0.332357606,41A_w,35,35,25,27,11,17,42,44,19,26,8,8,13,17,20,20,7,3
R20,0.1276459637,0.0571043729,41A_w,36,39,18,27,21,25,45,49,14,16,12,13,16,18,14,14,7,3
R21,0.0,-0.0599786451,41A_w,22,33,15,21,17,21,37,39,17,25,7,16,13,19,10,18,7,3
R22,0.2491502093,0.201537839,41A_w,39,44,19,20,13,17,39,39,14,14,5,13,15,20,25,26,7,3
R24,0.1276459637,0.0669828377,43A_e,32,39,18,21,13,19,41,45,13,19,4,7,10,13,15,15,10,3
R25,0.2471431281,0.2015897691,43A_e,38,42,22,22,19,19,41,45,14,26,4,21,16,17,15,17,10,3
R26,0.252843275,0.2001566189,43A_e,27,34,18,26,13,23,42,45,17,21,4,4,10,15,20,20,10,3
R27,0.2519428925,0.1943672861,43A_e,36,40,23,27,19,23,44,44,20,21,14,14,8,17,16,20,10,3
R28,0.3760606989,0.3413140605,43A_e,32,32,15,23,13,23,42,44,27,29,14,14,10,10,15,20,10,3
R29,0.1267455812,0.0781001552,43A_e,28,38,18,28,18,23,42,42,19,21,5,10,7,9,41,42,10,3
R31,0.2496468379,0.1978015019,43A_e,27,27,20,22,7,15,45,48,15,15,4,5,12,14,20,21,10,3
R32,0.0,-0.0623378397,43A_e,24,41,14,19,13,19,43,44,19,25,7,10,7,13,20,40,10,3
R33,0.0,-0.0547873471,43A_e,32,40,18,23,8,13,41,50,19,22,4,14,8,10,15,16,10,3
R34,0.1276459637,0.0569586209,43A_e,38,40,26,27,16,23,42,43,17,21,13,18,8,15,20,20,10,3
R35,0.376796173,0.333748593,43A_e,32,36,18,23,8,13,44,44,17,17,14,18,10,18,20,20,10,3
R36,0.1276459637,0.0560642027,43A_e,36,39,18,27,13,19,41,44,17,19,7,13,13,18,16,16,10,3
