Ri,Enclosure,HL,IR,Locus,Nr 52.2,Locus,Nr 52.4,Locus,Nr 52.7,Locus,Nr 52.11,Locus,Nr 60.2,Locus,Nr 60.5,Locus,Nr 60.11,Locus,Nr 60.34
R1,41A_n,0.1276459637,0.0670583743,314,318,250,270,254,262,368,370,331,339,212,238,431,439,234,234
R2,41A_n,0.124664157,0.0731167785,302,304,260,260,258,278,404,406,329,343,208,228,431,459,226,228
R3,41A_n,0,-0.0709967108,304,306,240,258,258,262,396,398,331,351,226,232,423,433,240,248
R4,41A_n,0.1224789711,0.0551796617,296,310,258,262,262,262,398,404,331,347,224,230,417,431,240,268
R5,41A_n,0,-0.0515690115,302,308,242,258,258,278,368,412,329,351,212,230,417,429,300,302
R6,41A_n,0,-0.0533681584,302,320,254,262,254,278,368,386,339,353,208,218,431,451,266,290
R7,41A_n,0.5020678273,0.4608901672,300,308,258,260,258,258,404,404,331,339,226,226,427,449,230,230
R8,41A_n,0.254391545,0.192625095,304,308,250,260,262,266,408,408,339,343,212,224,435,439,236,236
R9,41A_n,0.2500505918,0.216268399,286,288,220,238,254,258,376,378,351,351,226,232,433,449,240,240
R10,41A_n,0,-0.0589834435,280,298,240,258,272,282,320,324,333,357,224,226,425,429,228,236
R11,41A_w,0.2476019393,0.2112123585,306,308,224,236,278,282,406,408,339,339,226,226,423,433,284,286
R12,41A_w,0,-0.0516481566,284,300,244,258,270,286,386,408,347,373,210,226,429,449,284,294
R13,41A_w,0.1276459637,0.0683831939,300,308,260,262,270,272,392,398,329,353,212,226,435,437,228,228
R14,41A_w,0.1236211779,0.0626785537,308,320,252,262,278,286,386,400,335,339,218,224,429,429,250,292
R15,41A_w,0.1224046281,0.071057156,272,316,234,248,254,258,386,404,339,339,208,220,419,423,226,238
R16,41A_w,0.2501249348,0.2040454994,300,320,240,252,262,262,386,396,335,353,218,236,417,447,228,228
R17,41A_w,0.3755640703,0.3386435099,290,298,258,268,258,266,396,396,359,373,232,232,429,429,236,260
R18,41A_w,0.3800854848,0.332357606,298,298,258,262,250,262,394,398,339,353,216,216,429,437,240,240
R19,41A_w,0.1276459637,0.0593571918,296,308,254,256,258,266,398,436,333,353,228,234,429,457,234,234
R20,41A_w,0.1276459637,0.0571043729,300,306,244,262,270,278,400,408,329,333,224,226,435,439,228,228
