Ri,Label,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34
R37,ARC099,43A_n,302,304,236,262,254,258,390,398,339,339,222,232,435,453,228,234
R38,ARC411,43A_n,304,304,234,236,254,258,392,404,331,333,214,220,411,447,228,228
R39,ARC455,43A_n,284,304,246,262,258,282,386,386,339,349,218,238,411,413,234,234
R40,ARC471,43A_n,300,304,262,268,254,262,394,396,329,343,204,228,419,437,214,240
R41,ARC496,43A_n,304,308,236,262,258,258,386,398,329,339,218,232,421,431,228,234
R42,ARC594,43A_n,278,308,236,262,260,276,386,400,329,333,232,236,429,433,234,246
R44,ARC049,44_e,268,282,244,262,262,262,386,398,331,331,224,228,425,429,220,220
R45,ARC050,44_e,268,282,244,244,262,262,386,396,331,347,212,236,423,423,236,246
R46,ARC089,44_e,308,314,260,262,262,286,386,392,333,339,224,224,433,451,262,264
R47,ARC128,44_e,304,306,250,262,262,266,370,410,333,351,210,220,427,431,220,228
R48,ARC154,44_e,304,306,240,258,270,274,394,394,351,361,224,238,425,439,222,246
R50,ARC170,44_e,300,308,248,262,266,278,368,386,333,357,212,226,433,451,222,222
R51,ARC171,44_e,304,304,248,256,266,270,368,384,349,357,226,226,427,431,228,236
R52,ARC188,44_e,316,318,258,258,242,286,394,408,333,333,220,230,427,447,220,220
R53,ARC189,44_e,300,314,228,250,258,262,368,378,333,337,220,224,431,431,230,246
R54,ARC217,44_e,308,314,246,250,262,266,368,368,333,345,212,224,427,431,212,224
R55,ARC248,44_e,310,316,262,262,254,270,368,386,329,333,208,226,425,433,222,246
R56,ARC249,44_e,290,294,258,260,254,258,366,396,337,341,234,234,421,425,254,268
R57,ARC313,44_e,306,306,246,250,262,262,368,398,337,345,224,224,417,431,230,246
R58,ARC324,44_e,278,306,246,262,262,266,368,368,333,345,212,224,427,431,212,224
R61,ARC341,44_e,268,300,254,258,242,270,392,408,331,357,220,226,419,447,226,226
R62,ARC352,44_e,304,308,244,248,254,286,386,394,335,355,228,236,421,451,220,220
R63,ARC361,44_e,268,268,248,262,254,266,386,394,361,365,212,232,425,431,222,246
R64,ARC362,44_e,302,304,246,260,250,262,396,406,345,355,226,226,417,425,222,246
R66,ARC399,44_e,268,302,244,260,254,262,406,408,341,353,226,246,427,439,220,220
R67,ARC410,44_e,304,308,248,258,278,278,404,412,341,361,224,236,419,429,220,246
R68,ARC412,44_e,268,304,246,250,250,258,378,406,339,347,224,224,405,421,230,230
R69,ARC431,44_e,296,296,246,246,254,278,388,388,333,335,224,226,431,431,222,222
R72,ARC512,44_e,312,320,246,254,250,274,368,402,337,337,222,230,419,429,254,258
R73,ARC544,44_e,308,322,248,258,254,274,386,394,357,361,228,232,421,427,220,246
R74,ARC578,44_e,278,316,250,262,266,278,368,386,347,357,224,228,427,427,234,246
R75,ARC579,44_e,314,314,246,246,244,248,382,400,339,345,210,224,427,427,234,250
R77,ARC581,44_e,308,316,246,260,262,266,368,394,337,345,214,234,427,451,246,246
R78,ARC591,44_e,306,308,240,260,250,270,384,384,351,355,228,232,419,427,222,246
R80,ARC638,44_e,278,278,258,262,264,272,368,388,333,339,224,232,427,433,234,234
R81,ARC663,44_e,268,306,248,258,274,286,396,410,331,361,224,230,427,431,220,222
R82,ARC664,44_e,308,316,254,262,262,266,368,368,321,331,214,224,427,431,220,224
R83,ARC051,44_n,282,316,244,252,262,266,378,398,339,353,218,224,425,433,252,254
R84,ARC052,44_n,312,318,240,244,262,262,392,408,333,351,218,224,431,439,234,234
R85,ARC112,44_n,298,306,248,258,254,266,386,392,339,361,208,212,425,431,246,248
R87,ARC172,44_n,268,308,244,258,258,266,390,392,339,351,214,228,419,435,234,234
R88,ARC173,44_n,292,302,244,262,262,286,374,392,333,345,226,236,423,443,244,254
R89,ARC190,44_n,296,314,250,260,242,286,386,390,313,331,220,224,433,433,210,210
R90,ARC239,44_n,316,324,240,248,250,278,402,404,337,345,226,228,425,429,246,252
R91,ARC311,44_n,292,316,244,248,278,286,374,374,333,345,226,226,423,429,226,244
R93,ARC340,44_n,302,324,244,248,250,286,386,398,333,337,226,234,425,443,244,244
R94,ARC351,44_n,292,302,244,262,262,286,374,392,333,345,226,236,423,441,244,244
R95,ARC363,44_n,302,308,260,260,262,262,392,414,357,361,228,234,427,453,222,222
R97,ARC458,44_n,306,312,242,256,262,262,374,392,333,353,208,210,425,425,222,230
R98,ARC509,44_n,302,310,242,262,242,262,418,424,333,339,234,234,423,433,236,254
R99,ARC510,44_n,308,320,250,258,262,266,378,378,345,357,218,228,425,433,220,254
R102,ARC553,44_n,310,318,240,250,258,274,398,398,333,333,236,238,419,419,224,250
R103,ARC571,44_n,318,326,250,272,250,272,370,394,321,337,234,246,429,429,240,240
R106,ARC665,44_n,302,312,244,260,262,262,390,392,333,357,226,234,427,443,222,254
R107,ARC668,44_n,296,314,252,258,258,262,366,366,333,351,208,214,427,433,230,230
R109,ARC006,44_s,308,318,242,250,254,262,390,396,333,345,222,224,429,429,220,220
R110,ARC025,44_s,284,304,246,262,262,270,388,388,331,333,210,230,429,449,220,230
R111,ARC065,44_s,304,316,230,254,250,270,410,418,333,349,212,224,423,431,240,242
R112,ARC085,44_s,302,314,256,260,258,274,396,398,333,335,224,232,431,431,240,240
R114,ARC151,44_s,296,314,234,260,258,266,386,394,333,337,226,238,423,429,244,284
R115,ARC186,44_s,230,256,230,266,258,274,394,412,335,335,218,224,415,429,246,246
R116,ARC187,44_s,296,314,250,254,246,250,386,386,345,365,214,220,421,433,220,234
R117,ARC206,44_s,300,302,258,266,254,266,368,398,341,343,222,224,425,449,240,240
R118,ARC207,44_s,296,306,254,260,258,266,392,394,343,347,226,238,423,423,220,244
R119,ARC216,44_s,308,318,242,250,254,262,388,394,333,345,222,224,429,439,218,220
R120,ARC247,44_s,316,318,242,258,254,270,388,414,333,343,220,222,429,451,222,260
R121,ARC382,44_s,278,316,248,258,258,274,398,398,351,355,232,238,423,431,246,270
R122,ARC403,44_s,300,300,244,254,258,258,388,396,355,363,222,222,431,431,258,260
R123,ARC460,44_s,304,310,230,260,258,274,398,404,345,349,216,224,421,427,220,240
R124,ARC531,44_s,300,316,258,258,258,258,396,402,337,339,232,234,421,433,228,270
R125,ARC537,44_s,302,314,234,260,234,246,372,396,333,335,224,234,431,449,218,220
R126,ARC577,44_s,268,316,230,260,230,268,386,402,349,357,214,222,423,429,234,240
R127,ARC618,44_s,296,316,264,266,274,274,410,410,333,343,210,234,431,433,240,270
R128,ARC640,44_s,284,306,246,254,258,262,388,392,333,333,230,238,423,429,220,220
R130,ARC359,46_e,310,320,244,256,250,270,400,410,333,337,222,236,429,431,256,258
