,Ri,Label,Enclosure,Nr 52.2,Nr 52.4,Nr 52.7,Nr 52.11,Nr 60.2,Nr 60.5,Nr 60.11,Nr 60.34
0,1,ARC001,59_s,306,262,258,398,347,210,437,220
1,2,ARC002,61A_e,312,256,282,390,333,246,431,254
2,3,ARC003,59_s,316,250,254,402,335,226,439,254
3,4,ARC004,59_s,318,254,262,402,355,234,439,222
4,5,ARC005,54B_e,310,256,270,388,333,224,429,240
5,6,ARC006,44_s,318,250,262,396,345,224,429,220
6,7,ARC007,56B_s,310,244,258,392,341,236,437,222
7,8,ARC009,59_e,314,260,278,412,339,210,439,234
8,9,ARC010,59_n,318,248,274,384,343,232,447,256
9,10,ARC011,60D_n,300,260,246,390,333,226,437,244
10,11,ARC012,60D_n,304,252,286,366,353,236,431,232
11,12,ARC013,60D_s,300,250,274,366,331,230,435,222
12,13,ARC014,61B_s,320,256,266,396,349,242,437,266
13,14,ARC015,59_s,304,248,242,404,335,224,449,222
14,15,ARC016,59_s,328,260,292,394,339,246,429,244
15,16,ARC018,58E_n,314,238,278,400,333,226,449,256
16,17,ARC019,58E_n,316,262,274,396,339,222,447,258
17,18,ARC020,58E_e,316,252,266,404,339,226,427,230
18,19,ARC021,58E_e,318,262,270,402,331,238,429,258
19,20,ARC022,58E_e,312,268,274,378,339,226,437,230
20,21,ARC023,58E_w,324,268,274,378,335,222,437,228
21,22,ARC024,56B_n,314,248,270,410,333,238,431,244
22,23,ARC025,44_s,304,262,270,388,333,230,449,230
23,24,ARC026,61A_s,320,252,262,386,343,226,437,260
24,25,ARC027,59_n,308,262,266,400,343,224,449,294
25,26,ARC028,61A_n,334,258,286,400,355,234,449,224
26,27,ARC029,61B_n,312,242,278,400,349,226,449,218
27,29,ARC031,60D_s,300,264,262,404,335,238,439,290
28,30,ARC033,59_s,318,254,270,410,325,236,445,262
29,32,ARC035,54B_e,310,258,246,368,337,232,431,252
30,33,ARC036,48B_s,308,270,258,394,351,244,429,252
31,34,ARC037,48B_s,304,236,262,392,347,226,433,234
32,35,ARC038,58E_n,334,262,266,400,347,238,437,232
33,36,ARC039,41A_n,318,270,262,370,339,238,439,234
34,37,ARC040,59_e,318,248,274,400,339,232,441,234
35,38,ARC041,59_s,314,252,278,408,347,238,429,220
