,ARC006,ARC025,ARC065,ARC085,ARC109,ARC151,ARC186,ARC187,ARC206,ARC207,ARC216,ARC247,ARC382,ARC403,ARC460,ARC531,ARC537,ARC577,ARC618,ARC640
ARC006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC065,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC085,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC109,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC151,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC186,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC187,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARC206,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ARC207,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARC216,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARC247,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ARC382,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ARC403,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARC460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ARC531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ARC537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ARC577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ARC618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ARC640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
