,ARC024,ARC096,ARC146,ARC147,ARC148,ARC183,ARC321,ARC322,ARC376,ARC381,ARC392,ARC433,ARC596
ARC024,1,0,0,0,0,0,0,0,0,0,0,0,0
ARC096,0,1,0,0,0,0,0,0,0,0,0,0,0
ARC146,0,0,1,0,0,0,0,0,0,0,0,0,0
ARC147,0,0,0,1,0,0,0,0,0,0,0,0,0
ARC148,0,0,0,0,1,0,0,0,0,0,0,0,0
ARC183,0,0,0,0,0,1,0,0,0,0,0,0,0
ARC321,0,0,0,0,0,0,1,0,0,0,0,0,0
ARC322,0,0,0,0,0,0,0,1,0,0,0,0,0
ARC376,0,0,0,0,0,0,0,0,1,0,0,0,0
ARC381,0,0,0,0,0,0,0,0,0,1,0,0,0
ARC392,0,0,0,0,0,0,0,0,0,0,1,0,0
ARC433,0,0,0,0,0,0,0,0,0,0,0,1,0
ARC596,0,0,0,0,0,0,0,0,0,0,0,0,1
