,ARC010,ARC027,ARC066,ARC076,ARC129,ARC130,ARC160,ARC191,ARC192,ARC193,ARC208,ARC304,ARC305,ARC306,ARC317,ARC355,ARC369,ARC426,ARC515,ARC607
ARC010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC027,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC066,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC076,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC129,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC130,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC160,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC191,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARC192,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ARC193,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARC208,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARC304,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ARC305,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ARC306,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARC317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ARC355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ARC369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ARC426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ARC515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ARC607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
