,ARC001,ARC003,ARC004,ARC015,ARC016,ARC033,ARC041,ARC100,ARC113,ARC114,ARC175,ARC176,ARC209,ARC227,ARC265,ARC556,ARC653
ARC001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARC033,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ARC041,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARC100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARC113,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ARC114,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ARC175,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARC176,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ARC209,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ARC227,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ARC265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ARC556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ARC653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
