,ARC055,ARC087,ARC091,ARC119,ARC135,ARC158,ARC196,ARC218,ARC231,ARC315,ARC316,ARC328,ARC380,ARC439,ARC501,ARC652
ARC055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC087,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC091,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC119,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARC135,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ARC158,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARC196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARC218,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ARC231,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ARC315,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARC316,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ARC328,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ARC380,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ARC439,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ARC501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ARC652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
