,ARC028,ARC042,ARC067,ARC131,ARC229,ARC319,ARC329,ARC335,ARC344,ARC357,ARC468,ARC469,ARC507,ARC522,ARC542,ARC657
ARC028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC042,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC067,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC131,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARC229,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ARC319,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARC329,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARC335,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ARC344,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ARC357,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARC468,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ARC469,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ARC507,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ARC522,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ARC542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ARC657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
