,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34
0,41A_n,314,318,250,270,254,262,368,370,331,339,212,238,431,439,234,234
1,41A_n,302,304,260,260,258,278,404,406,329,343,208,228,431,459,226,228
2,41A_n,304,306,240,258,258,262,396,398,331,351,226,232,423,433,240,248
3,41A_n,296,310,258,262,262,262,398,404,331,347,224,230,417,431,240,268
4,41A_n,302,308,242,258,258,278,368,412,329,351,212,230,417,429,300,302
5,41A_n,302,320,254,262,254,278,368,386,339,353,208,218,431,451,266,290
6,41A_n,300,308,258,260,258,258,404,404,331,339,226,226,427,449,230,230
7,41A_n,304,308,250,260,262,266,408,408,339,343,212,224,435,439,236,236
8,41A_n,286,288,220,238,254,258,376,378,351,351,226,232,433,449,240,240
9,41A_n,280,298,240,258,272,282,320,324,333,357,224,226,425,429,228,236
