,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34
10,41A_w,306,308,224,236,278,282,406,408,339,339,226,226,423,433,284,286
11,41A_w,284,300,244,258,270,286,386,408,347,373,210,226,429,449,284,294
12,41A_w,300,308,260,262,270,272,392,398,329,353,212,226,435,437,228,228
13,41A_w,308,320,252,262,278,286,386,400,335,339,218,224,429,429,250,292
14,41A_w,272,316,234,248,254,258,386,404,339,339,208,220,419,423,226,238
15,41A_w,300,320,240,252,262,262,386,396,335,353,218,236,417,447,228,228
16,41A_w,290,298,258,268,258,266,396,396,359,373,232,232,429,429,236,260
17,41A_w,298,298,258,262,250,262,394,398,339,353,216,216,429,437,240,240
18,41A_w,296,308,254,256,258,266,398,436,333,353,228,234,429,457,234,234
19,41A_w,300,306,244,262,270,278,400,408,329,333,224,226,435,439,228,228
20,41A_w,272,294,238,250,262,270,384,388,335,351,214,232,429,441,220,236
21,41A_w,306,316,246,248,254,262,388,388,329,329,210,226,433,443,250,252
