,Label,Enclosure,Nr 52.2,Nr 52.4,Nr 52.7,Nr 52.11,Nr 60.2,Nr 60.5,Nr 60.11,Nr 60.34
143,ARC008,48B_e,290,276,278,384,353,232,433,252
144,ARC045,48B_e,304,264,262,418,351,212,439,320
145,ARC060,48B_e,300,264,266,390,337,226,427,226
146,ARC068,48B_e,296,260,258,416,331,226,429,244
147,ARC121,48B_e,308,262,270,408,333,226,427,318
148,ARC184,48B_e,250,248,266,396,341,232,429,244
149,ARC365,48B_e,292,276,258,382,331,224,431,244
150,ARC389,48B_e,308,274,258,384,373,218,427,316
151,ARC443,48B_e,256,262,270,396,333,226,441,222
152,ARC461,48B_e,296,252,278,386,333,232,431,252
153,ARC550,48B_e,316,258,270,460,349,226,441,220
