,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34
164,54B_e,308,310,246,256,252,270,388,388,333,333,224,224,429,429,220,240
165,54B_e,304,310,252,258,242,246,368,368,333,337,224,232,431,431,250,252
166,54B_e,310,310,230,256,246,254,368,408,333,337,210,224,427,427,308,344
167,54B_e,310,310,258,258,242,242,368,392,333,333,208,236,429,429,236,254
168,54B_e,306,310,252,256,246,262,368,368,333,337,224,224,429,433,220,224
169,54B_e,302,304,246,258,258,270,368,390,333,347,210,224,427,433,304,306
170,54B_e,302,310,230,260,254,258,384,386,333,335,210,224,419,427,218,220
171,54B_e,310,312,258,260,254,286,368,368,333,333,224,224,429,441,222,224
172,54B_e,308,310,242,252,246,262,384,388,331,333,226,230,425,439,220,254
173,54B_e,272,312,242,246,254,266,384,384,333,355,206,212,431,453,254,256
174,54B_e,298,308,242,242,258,278,400,402,335,335,210,224,427,439,218,218
175,54B_e,298,306,242,256,262,278,368,368,333,333,224,224,429,439,330,332
176,54B_e,310,312,256,256,262,286,368,368,333,337,222,224,427,427,222,222
177,54B_e,302,306,256,260,246,286,368,368,353,363,246,256,433,443,224,224
178,54B_e,306,308,244,256,246,286,368,368,355,355,220,236,417,429,330,332
179,54B_e,310,312,246,256,246,278,368,370,353,363,224,236,433,443,332,334
180,54B_e,304,318,244,250,274,286,368,394,353,353,208,222,419,431,218,218
181,54B_e,304,304,252,258,258,274,368,386,349,355,224,224,429,437,254,254
182,54B_e,278,308,246,256,262,270,368,382,335,335,208,236,427,429,222,222
183,54B_e,272,272,244,248,258,278,380,380,337,337,208,238,423,425,308,308
184,54B_e,310,312,256,260,262,286,312,312,333,337,220,224,429,429,222,222
185,54B_e,316,326,256,264,250,254,386,388,335,347,222,222,447,447,242,336
186,54B_e,292,312,246,258,270,274,412,412,335,345,208,224,429,429,308,308
187,54B_e,298,300,244,248,242,266,396,398,331,347,224,224,429,437,222,222
188,54B_e,272,296,246,260,270,278,326,376,333,357,224,230,431,445,258,260
189,54B_e,272,308,242,260,270,278,368,368,333,357,214,224,431,445,222,222
190,54B_e,272,296,244,262,270,274,368,368,335,347,224,238,419,433,258,260
191,54B_e,308,312,246,260,270,286,370,370,343,357,236,236,445,453,222,222
