,Label,Enclosure,Nr 52.2,Nr 52.4,Nr 52.7,Nr 52.11,Nr 60.2,Nr 60.5,Nr 60.11,Nr 60.34
192,ARC070,54B_w,308,242,278,368,337,224,439,302
193,ARC095,54B_w,306,266,262,394,337,228,439,228
194,ARC143,54B_w,312,230,278,394,335,208,439,208
195,ARC214,54B_w,308,230,274,384,331,210,443,306
196,ARC309,54B_w,310,256,270,404,335,224,439,302
197,ARC404,54B_w,316,262,262,416,345,234,449,242
198,ARC408,54B_w,308,230,270,402,337,224,439,302
199,ARC424,54B_w,302,248,278,370,341,224,427,222
200,ARC488,54B_w,304,264,260,394,337,228,437,302
201,ARC558,54B_w,324,246,262,358,333,228,439,218
202,ARC600,54B_w,308,266,262,394,329,228,439,302
