,Label,Enclosure,Nr 52.2,Nr 52.4,Nr 52.7,Nr 52.11,Nr 60.2,Nr 60.5,Nr 60.11,Nr 60.34
203,ARC024,56B_n,314,248,270,410,333,238,431,244
204,ARC096,56B_n,312,260,282,392,333,232,443,244
205,ARC146,56B_n,300,258,260,402,341,234,437,258
206,ARC147,56B_n,280,238,262,404,335,224,449,222
207,ARC148,56B_n,312,256,270,408,335,236,431,230
208,ARC183,56B_n,260,260,266,392,335,230,447,220
209,ARC321,56B_n,322,258,274,390,333,248,447,234
210,ARC322,56B_n,316,262,270,408,337,240,449,242
211,ARC376,56B_n,310,242,274,402,359,246,417,244
212,ARC381,56B_n,314,256,270,408,355,228,431,304
213,ARC392,56B_n,310,258,270,398,357,230,443,224
214,ARC433,56B_n,296,250,262,384,333,234,427,326
215,ARC596,56B_n,306,256,270,394,345,226,451,232
