,Label,Enclosure,Nr 52.2,Nr 52.4,Nr 52.7,Nr 52.11,Nr 60.2,Nr 60.5,Nr 60.11,Nr 60.34
226,ARC020,58E_e,316,252,266,404,339,226,427,230
227,ARC021,58E_e,318,262,270,402,331,238,429,258
228,ARC022,58E_e,312,268,274,378,339,226,437,230
229,ARC083,58E_e,304,262,274,402,355,246,437,258
230,ARC124,58E_e,308,252,266,404,337,224,441,240
231,ARC150,58E_e,286,258,282,398,333,224,427,292
232,ARC180,58E_e,312,252,278,418,333,242,427,244
233,ARC201,58E_e,308,262,266,384,331,224,433,248
234,ARC202,58E_e,298,256,266,394,343,270,439,240
235,ARC303,58E_e,312,264,266,418,355,246,427,258
236,ARC320,58E_e,300,252,266,402,335,214,435,222
237,ARC393,58E_e,310,256,274,404,375,246,425,240
238,ARC434,58E_e,324,250,258,398,333,280,427,240
239,ARC533,58E_e,304,260,282,396,363,224,427,240
240,ARC569,58E_e,300,258,272,418,337,228,429,222
241,ARC598,58E_e,304,260,274,370,333,246,441,266
