,Label,Enclosure,Nr 52.2,Nr 52.4,Nr 52.7,Nr 52.11,Nr 60.2,Nr 60.5,Nr 60.11,Nr 60.34
242,ARC018,58E_n,314,238,278,400,333,226,449,256
243,ARC019,58E_n,316,262,274,396,339,222,447,258
244,ARC038,58E_n,334,262,266,400,347,238,437,232
245,ARC046,58E_n,304,262,274,398,335,212,441,310
246,ARC047,58E_n,304,236,262,388,333,224,439,256
247,ARC048,58E_n,316,256,274,398,343,230,429,258
248,ARC094,58E_n,322,250,270,384,345,226,431,226
249,ARC164,58E_n,312,244,258,392,333,224,437,226
250,ARC165,58E_n,314,244,258,394,341,228,439,228
251,ARC181,58E_n,308,262,274,404,333,236,425,258
252,ARC215,58E_n,312,264,266,426,343,226,425,266
253,ARC237,58E_n,318,248,266,400,327,236,435,252
254,ARC238,58E_n,312,256,274,400,343,228,447,262
255,ARC333,58E_n,306,262,274,404,345,234,425,258
256,ARC334,58E_n,312,248,286,410,343,248,427,258
257,ARC366,58E_n,308,264,250,400,335,222,429,244
258,ARC367,58E_n,308,264,262,402,343,208,431,258
259,ARC394,58E_n,304,262,274,396,355,222,447,310
260,ARC416,58E_n,284,254,274,398,337,234,435,252
261,ARC436,58E_n,312,256,262,394,333,236,435,228
262,ARC473,58E_n,256,252,276,396,337,234,431,238
263,ARC492,58E_n,312,264,266,396,335,226,425,258
264,ARC514,58E_n,314,262,262,388,367,238,447,244
265,ARC520,58E_n,312,262,286,408,339,236,427,234
266,ARC532,58E_n,306,262,290,392,333,228,443,258
267,ARC586,58E_n,314,262,278,394,333,228,439,238
268,ARC619,58E_n,316,264,254,416,333,236,429,260
