,Label,Enclosure,Nr 52.2,Nr 52.4,Nr 52.7,Nr 52.11,Nr 60.2,Nr 60.5,Nr 60.11,Nr 60.34
284,ARC010,59_n,318,248,274,384,343,232,447,256
285,ARC027,59_n,308,262,266,400,343,224,449,294
286,ARC066,59_n,300,238,274,400,335,242,449,242
287,ARC076,59_n,296,230,278,406,335,206,435,260
288,ARC129,59_n,316,258,272,432,339,242,443,234
289,ARC130,59_n,300,262,266,404,339,240,439,232
290,ARC160,59_n,310,250,282,404,335,244,419,228
291,ARC191,59_n,318,256,274,410,365,240,449,256
292,ARC192,59_n,294,248,278,402,365,274,449,314
293,ARC193,59_n,318,264,278,406,331,220,447,246
294,ARC208,59_n,318,248,274,410,351,232,447,264
295,ARC304,59_n,318,264,262,408,333,214,447,240
296,ARC305,59_n,316,258,278,400,339,240,441,242
297,ARC306,59_n,300,258,290,390,349,242,449,236
298,ARC317,59_n,292,256,282,382,367,208,431,254
299,ARC355,59_n,290,264,274,384,341,230,429,256
300,ARC369,59_n,318,248,274,406,343,230,429,226
301,ARC426,59_n,300,262,266,388,343,240,437,250
302,ARC515,59_n,300,278,266,402,341,224,439,220
303,ARC607,59_n,278,244,278,402,339,230,431,220
