,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34
304,59_s,302,306,248,262,254,258,392,398,327,347,204,210,435,437,220,220
305,59_s,312,316,236,250,242,254,400,402,331,335,224,226,437,439,244,254
306,59_s,316,318,230,254,250,262,392,402,327,355,220,234,431,439,222,222
307,59_s,286,304,236,248,242,242,394,404,331,335,220,224,437,449,218,222
308,59_s,304,328,248,260,274,292,376,394,331,339,238,246,427,429,220,244
309,59_s,290,318,242,254,246,270,406,410,325,325,210,236,429,445,250,262
310,59_s,302,314,248,252,254,278,390,408,343,347,210,238,419,429,220,220
311,59_s,300,302,230,248,254,254,374,398,321,329,204,212,437,449,246,246
312,59_s,286,290,242,242,262,270,392,398,329,349,220,220,441,447,256,258
313,59_s,304,314,252,270,278,290,392,418,327,335,214,218,425,449,254,256
314,59_s,284,316,230,248,282,282,390,406,335,351,212,240,427,437,244,244
315,59_s,290,304,230,262,242,274,394,398,331,347,204,222,423,437,228,228
316,59_s,302,308,248,262,254,258,392,398,327,347,204,210,433,433,218,220
317,59_s,304,326,248,252,254,254,398,410,327,341,212,224,417,427,212,224
318,59_s,262,270,248,264,262,266,382,382,341,351,218,224,423,427,246,252
319,59_s,290,310,230,248,230,244,388,390,347,349,246,274,423,437,248,256
320,59_s,316,316,236,248,246,282,390,390,331,335,212,224,427,437,218,224
