,Label,Enclosure,Nr 52.2,Nr 52.4,Nr 52.7,Nr 52.11,Nr 60.2,Nr 60.5,Nr 60.11,Nr 60.34
321,ARC055,60D_e,318,256,282,398,337,234,449,254
322,ARC087,60D_e,314,250,294,396,339,212,463,242
323,ARC091,60D_e,300,256,278,406,363,228,437,228
324,ARC119,60D_e,310,236,266,390,343,220,427,232
325,ARC135,60D_e,310,258,274,396,335,228,425,244
326,ARC158,60D_e,298,236,278,404,343,248,435,240
327,ARC196,60D_e,310,210,278,394,339,228,427,258
328,ARC218,60D_e,310,248,266,390,363,246,441,244
329,ARC231,60D_e,354,258,286,390,341,224,437,220
330,ARC315,60D_e,346,256,286,400,337,226,431,258
331,ARC316,60D_e,320,256,282,398,337,210,437,288
332,ARC328,60D_e,320,260,286,398,347,250,433,244
333,ARC380,60D_e,312,256,266,402,357,220,437,288
334,ARC439,60D_e,302,254,278,400,333,234,437,294
335,ARC501,60D_e,304,256,286,390,337,240,417,218
336,ARC652,60D_e,284,250,282,388,339,212,449,260
