,Label,Enclosure,Nr 52.2,Nr 52.4,Nr 52.7,Nr 52.11,Nr 60.2,Nr 60.5,Nr 60.11,Nr 60.34
337,ARC011,60D_n,300,260,246,390,333,226,437,244
338,ARC012,60D_n,304,252,286,366,353,236,431,232
339,ARC044,60D_n,320,256,262,400,349,226,441,260
340,ARC054,60D_n,306,252,274,392,349,220,427,236
341,ARC120,60D_n,286,260,278,404,333,226,457,290
342,ARC136,60D_n,302,238,282,396,347,212,431,244
343,ARC220,60D_n,320,256,262,436,343,226,441,228
344,ARC425,60D_n,298,230,262,400,343,210,437,222
345,ARC464,60D_n,324,260,262,394,353,250,457,292
346,ARC500,60D_n,312,250,262,398,337,252,427,292
347,ARC551,60D_n,320,256,262,438,333,226,441,264
348,ARC606,60D_n,330,256,304,396,337,214,437,222
