,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34
349,60D_s,290,300,230,250,246,274,352,366,327,331,210,230,425,435,222,222
350,60D_s,300,300,250,264,246,262,402,404,333,335,234,238,425,439,288,290
351,60D_s,278,312,230,246,262,270,388,394,343,367,232,254,419,425,248,260
352,60D_s,300,302,238,250,250,274,390,398,347,367,230,248,431,439,258,260
353,60D_s,280,282,218,236,254,262,382,410,335,343,210,210,431,431,252,264
354,60D_s,290,300,230,250,246,274,406,406,327,331,210,230,425,433,220,222
355,60D_s,308,314,246,260,262,262,392,400,327,327,210,228,419,445,222,222
356,60D_s,300,306,244,254,254,278,388,390,331,335,210,224,437,439,216,220
357,60D_s,312,320,230,238,266,266,390,390,327,339,212,234,451,475,220,220
358,60D_s,278,302,230,248,246,262,394,394,343,367,230,238,419,425,228,246
359,60D_s,288,308,238,264,250,254,360,388,353,355,224,228,427,431,222,222
360,60D_s,298,306,230,238,254,262,392,394,333,345,224,224,419,441,254,274
361,60D_s,286,302,230,250,258,278,362,388,325,333,212,224,415,431,254,262
362,60D_s,304,308,252,252,246,278,318,412,341,343,220,244,425,445,222,222
363,60D_s,304,312,230,248,246,262,436,438,335,343,210,228,419,457,246,246
364,60D_s,286,300,238,260,254,270,392,392,331,359,236,238,425,437,254,290
365,60D_s,300,302,230,266,246,274,388,392,331,331,204,228,421,429,248,252
