,Label,Enclosure,Nr 52.2,Nr 52.4,Nr 52.7,Nr 52.11,Nr 60.2,Nr 60.5,Nr 60.11,Nr 60.34
366,ARC002,61A_e,312,256,282,390,333,246,431,254
367,ARC101,61A_e,310,252,302,400,333,230,431,234
368,ARC194,61A_e,312,262,304,408,331,220,427,260
369,ARC226,61A_e,362,254,258,386,347,254,437,216
370,ARC242,61A_e,312,254,282,386,341,246,435,254
371,ARC318,61A_e,310,252,302,388,331,246,431,254
372,ARC336,61A_e,290,256,282,384,341,224,427,256
373,ARC343,61A_e,316,258,290,402,333,234,437,314
374,ARC395,61A_e,312,246,282,384,353,246,429,256
375,ARC401,61A_e,318,252,302,450,375,230,451,234
376,ARC561,61A_e,316,258,254,456,349,254,431,314
