,Label,Enclosure,Nr 52.2,Nr 52.4,Nr 52.7,Nr 52.11,Nr 60.2,Nr 60.5,Nr 60.11,Nr 60.34
393,ARC026,61A_s,320,252,262,386,343,226,437,260
394,ARC056,61A_s,314,256,274,398,349,226,421,254
395,ARC093,61A_s,320,258,274,392,337,242,437,218
396,ARC102,61A_s,310,258,258,398,333,228,429,224
397,ARC103,61A_s,310,256,274,392,335,234,431,240
398,ARC162,61A_s,318,252,262,398,329,226,439,238
399,ARC163,61A_s,310,260,274,386,339,246,435,234
400,ARC211,61A_s,290,264,274,410,333,262,427,222
401,ARC230,61A_s,310,258,262,404,335,226,435,226
402,ARC400,61A_s,314,260,274,396,353,246,437,254
403,ARC470,61A_s,300,256,278,396,363,228,437,260
404,ARC543,61A_s,320,262,274,492,349,242,427,260
405,ARC566,61A_s,294,252,294,398,339,234,451,252
406,ARC610,61A_s,318,252,242,394,345,242,429,220
