,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34
436,61B_s,316,320,236,256,258,266,396,396,331,349,224,242,419,437,264,266
437,61B_s,308,322,230,258,250,266,388,400,335,345,238,262,433,445,222,222
438,61B_s,298,300,230,250,246,262,392,392,333,341,234,234,437,437,238,240
439,61B_s,290,306,250,256,254,262,392,394,333,369,224,234,419,435,236,236
440,61B_s,290,314,244,250,266,270,394,396,333,335,220,224,427,435,220,220
441,61B_s,312,322,230,248,238,254,360,392,333,337,224,234,425,441,220,226
442,61B_s,276,276,236,254,254,268,394,402,333,335,220,234,435,435,220,244
443,61B_s,302,306,230,230,254,266,394,394,331,333,224,224,437,439,264,266
444,61B_s,306,308,230,248,254,258,390,390,333,341,220,224,437,437,222,234
445,61B_s,290,304,230,244,262,294,398,398,327,331,220,234,427,431,238,238
446,61B_s,304,308,248,264,276,278,390,392,341,341,226,226,435,435,258,258
447,61B_s,302,304,230,254,266,266,392,392,333,333,224,236,427,427,314,316
448,61B_s,310,312,230,230,254,266,388,388,333,337,220,224,425,433,220,224
449,61B_s,304,308,248,264,278,294,390,394,333,343,226,234,435,435,260,260
450,61B_s,322,324,230,236,238,278,390,394,333,333,220,224,425,433,264,272
451,61B_s,302,316,236,252,246,266,406,406,333,349,220,222,419,425,236,236
452,61B_s,312,314,242,258,254,254,378,406,355,355,206,210,427,437,258,258
453,61B_s,314,324,236,248,238,266,386,398,353,355,214,224,435,441,244,244
454,61B_s,318,320,230,248,238,278,392,392,333,337,234,248,415,425,222,222
455,61B_s,290,320,234,248,254,254,378,392,333,359,220,226,433,441,280,280
456,61B_s,300,324,230,230,234,242,390,390,333,335,224,234,425,437,254,254
457,61B_s,314,320,242,260,254,254,378,378,335,351,220,224,433,437,276,282
458,61B_s,322,324,230,248,230,242,390,402,333,347,248,248,437,441,246,250
459,61B_s,304,312,248,250,254,294,376,376,339,339,224,234,425,427,250,250
460,61B_s,304,324,248,252,238,246,432,434,333,337,234,242,425,437,224,224
461,61B_s,302,304,244,250,246,294,434,446,331,333,220,234,427,439,222,222
462,61B_s,300,312,230,230,238,262,394,398,337,337,234,234,435,439,240,240
